b0,b1,delta_lpd_total
-0.03,-0.2,8.726763537891316
-0.03,0.0,13.722710021815544
-0.03,0.2,2.462620827387184
-0.02,-0.2,5.625569077124396
-0.02,0.0,8.112700707345823
-0.02,0.2,2.31076690204992
-0.01,-0.2,3.85242542385825
-0.01,0.0,4.911980814667004
-0.01,0.2,2.202576939563585
0.0,-0.2,3.3994701739641187
0.0,0.0,3.634345260331145
0.0,0.2,2.1211086033614492
0.01,-0.2,8.843345038598784
0.01,0.0,3.0060887829232
0.01,0.2,2.059892138745738
0.02,-0.2,17.59289697365682
0.02,0.0,2.6598927796712246
0.02,0.2,2.0141639435622096
0.03,-0.2,14.008715760455914
0.03,0.0,2.4361651383659932
0.03,0.2,1.9762098241359922
