event,k,k_used,cum_weight_frac_at_k,n_gal_total,total_weight_proxy
GW200308_173609,200,200,0.05766828746340587,5575185,0.29777197748631556
GW200308_173609,1000,1000,0.1895628007088023,5575185,0.29777197748631556
GW200308_173609,5000,5000,0.5482750596748078,5575185,0.29777197748631556
GW200308_173609,20000,20000,0.9999999999999987,5575185,0.29777197748631556
GW200220_061928,200,200,0.027540941412678765,1976416,3.1051843665252945
GW200220_061928,1000,1000,0.06937831914938973,1976416,3.1051843665252945
GW200220_061928,5000,5000,0.20754641895174297,1976416,3.1051843665252945
GW200220_061928,20000,20000,0.5189365603852394,1976416,3.1051843665252945
GW200208_130117,200,200,0.2139526319499375,11255,107.00923063356746
GW200208_130117,1000,1000,0.6085248422987002,11255,107.00923063356746
GW200208_130117,5000,5000,0.9984610641461323,11255,107.00923063356746
GW200208_130117,20000,11255,1.0000000000000018,11255,107.00923063356746
GW200219_094415,200,200,0.029945552044033208,387660,28.962053894505136
GW200219_094415,1000,1000,0.08911353889894791,387660,28.962053894505136
GW200219_094415,5000,5000,0.2643165074969662,387660,28.962053894505136
GW200219_094415,20000,20000,0.5778540490190401,387660,28.962053894505136
GW191230_180458,200,200,0.012024196247418168,553690,11.822058517050435
GW191230_180458,1000,1000,0.035656109591370035,553690,11.822058517050435
GW191230_180458,5000,5000,0.12034478864857484,553690,11.822058517050435
GW191230_180458,20000,20000,0.3423900220069152,553690,11.822058517050435
